MAL_ID,English name,Rating,Ranked,Episodes
516,Sgt. Frog,8,1030,358
517,Unknown,8,914,26
518,Magical Princess Minky Momo,8,4716,26
519,Unknown,8,2162,26
520,Unknown,7,2137,1
521,Mermaid Melody:Pichi Pichi Pitch,7,3499,52
522,Unknown,7,1455,26
523,My Neighbor Totoro,8,220,1
524,Unknown,8,3477,26
525,Otogi Zoshi:The Legend of Magatama,8,3711,26
526,Please Save My Earth,7,2898,26
527,Pokémon,8,2144,276
528,Pokemon:The First Movie,8,1184,1
529,"She, The Ultimate Weapon",8,2866,26
